city,cloudiness,country,date,humidity,lat,lon,main_temp,max_temp,pressure,timezone,visibility,wind.deg,wind_speed
Mar del Plata,90.0,AR,1603589851.0,100.0,-38.0,-57.56,15.3,16.11,1014.0,-10800.0,10000.0,70.0,2.6
Kitimat,0.0,CA,1603590123.0,53.0,54.05,-128.65,1.67,1.67,1035.0,-25200.0,10000.0,53.0,2.18
Māngrol,36.0,IN,1603590124.0,62.0,21.12,70.12,26.85,26.85,1011.0,19800.0,10000.0,20.0,2.41
Road Town,88.0,VG,1603590070.0,83.0,18.42,-64.62,28.15,28.33,1014.0,-14400.0,10000.0,67.0,7.15
Inzer,97.0,RU,1603590124.0,91.0,54.22,57.56,4.14,4.14,1010.0,18000.0,6039.0,212.0,1.74
Novoselitskoye,0.0,RU,1603590124.0,75.0,44.75,43.44,5.0,5.0,1017.0,10800.0,10000.0,300.0,3.0
Leningradskiy,0.0,RU,1603590124.0,92.0,69.38,178.42,-4.52,-4.52,1019.0,43200.0,10000.0,149.0,4.2
Ambon City,20.0,ID,1603589947.0,70.0,-3.7,128.18,31.0,31.0,1011.0,32400.0,10000.0,170.0,1.5
Bilma,0.0,NE,1603589903.0,21.0,18.69,12.92,22.13,22.13,1013.0,3600.0,10000.0,38.0,5.81
Chamba,0.0,IN,1603590125.0,35.0,32.57,76.13,15.37,15.37,1018.0,19800.0,10000.0,78.0,2.75
Maïné Soroa,93.0,NE,1603590125.0,19.0,13.21,12.02,26.82,26.82,1010.0,3600.0,10000.0,39.0,4.8
Busselton,62.0,AU,1603590125.0,32.0,-33.65,115.33,22.56,26.11,1008.0,28800.0,10000.0,38.0,3.85
Dunedin,100.0,NZ,1603589974.0,53.0,-45.87,170.5,20.51,20.51,1007.0,46800.0,10000.0,331.0,6.73
Torbay,90.0,CA,1603590126.0,100.0,47.67,-52.73,9.53,10.0,1011.0,-9000.0,10000.0,170.0,10.8
Sept-Îles,20.0,CA,1603590126.0,59.0,50.2,-66.38,3.0,3.0,1012.0,-14400.0,10000.0,310.0,4.1
Vaini,75.0,TO,1603590126.0,88.0,-21.2,-175.2,24.0,24.0,1014.0,46800.0,10000.0,110.0,5.1
Saint Paul Harbor,90.0,US,1603589988.0,93.0,57.79,-152.41,7.0,7.0,1019.0,-28800.0,10000.0,150.0,1.5
Butaritari,83.0,KI,1603590126.0,69.0,3.07,172.79,27.25,27.25,1008.0,43200.0,10000.0,147.0,3.36
Araouane,0.0,ML,1603590082.0,14.0,18.9,-3.53,29.84,29.84,1012.0,0.0,10000.0,87.0,4.23
Provideniya,91.0,RU,1603590127.0,87.0,64.38,-173.3,1.42,1.42,1015.0,43200.0,10000.0,26.0,4.93
Pacific Grove,1.0,US,1603590036.0,72.0,36.62,-121.92,16.0,17.0,1014.0,-25200.0,10000.0,310.0,3.1
Cabo San Lucas,5.0,MX,1603589832.0,58.0,22.89,-109.91,28.6,29.0,1013.0,-21600.0,10000.0,311.0,4.44
Östersund,100.0,SE,1603590127.0,99.0,63.18,14.64,0.28,0.56,1000.0,3600.0,10000.0,130.0,4.6
São João da Barra,100.0,BR,1603590127.0,93.0,-21.64,-41.05,22.4,22.4,1013.0,-10800.0,10000.0,45.0,7.56
Mataura,100.0,NZ,1603590127.0,46.0,-46.19,168.86,22.95,22.95,1007.0,46800.0,10000.0,300.0,6.31
Ushuaia,75.0,AR,1603590041.0,70.0,-54.8,-68.3,7.0,7.0,1009.0,-10800.0,10000.0,340.0,5.7
Albany,61.0,US,1603589834.0,68.0,42.6,-73.97,7.4,8.33,1016.0,-14400.0,10000.0,268.0,1.79
Caravelas,100.0,BR,1603590128.0,86.0,-17.71,-39.25,24.24,24.24,1013.0,-10800.0,10000.0,29.0,3.37
Mahébourg,75.0,MU,1603590128.0,94.0,-20.41,57.7,21.0,21.0,1018.0,14400.0,5000.0,100.0,7.2
Ostrovnoy,100.0,RU,1603590128.0,97.0,68.05,39.51,-0.3,-0.3,999.0,10800.0,652.0,88.0,5.64
Faanui,97.0,PF,1603589866.0,77.0,-16.48,-151.75,26.24,26.24,1009.0,-36000.0,7573.0,359.0,5.28
Havelock,1.0,US,1603590128.0,93.0,34.88,-76.9,19.72,22.78,1016.0,-14400.0,10000.0,168.0,2.26
Arraial do Cabo,100.0,BR,1603590129.0,93.0,-22.97,-42.03,21.22,21.22,1013.0,-10800.0,7161.0,86.0,9.7
Barreirinhas,61.0,BR,1603590129.0,79.0,-2.75,-42.83,26.71,26.71,1009.0,-10800.0,10000.0,60.0,4.11
Alofi,91.0,NU,1603590129.0,69.0,-19.06,-169.92,28.0,28.0,1011.0,-39600.0,10000.0,110.0,8.7
Airai,82.0,TL,1603589841.0,50.0,-8.93,125.41,26.57,26.57,1011.0,32400.0,10000.0,146.0,0.62
Paamiut,100.0,GL,1603590129.0,84.0,61.99,-49.67,-1.81,-1.81,1007.0,-10800.0,10000.0,96.0,3.22
Katsuura,40.0,JP,1603590130.0,42.0,35.13,140.3,17.59,19.44,1012.0,32400.0,10000.0,340.0,6.2
Pingshan,88.0,CN,1603590130.0,54.0,22.99,114.71,24.44,24.44,1014.0,28800.0,10000.0,45.0,0.45
Bengkulu,100.0,ID,1603589877.0,66.0,-3.8,102.27,28.59,28.59,1014.0,25200.0,10000.0,330.0,0.82
